"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Nov-2024","EQ","147.00","152.55","146.95","146.95","152.45","152.29","150.69","184.60","117.50","4,27,72,283","6,44,51,42,415.20","2,44,601"
"04-Nov-2024","EQ","150.00","150.00","145.10","149.75","147.10","146.95","146.86","184.60","117.50","2,55,71,021","3,75,54,35,352.87","2,87,395"
"01-Nov-2024","EQ","149.66","150.25","149.00","148.56","149.70","149.75","149.85","184.60","114.60","51,06,804","76,52,48,053.69","90,862"
"31-Oct-2024","EQ","149.08","149.95","148.20","148.97","148.33","148.56","148.87","184.60","114.60","2,63,83,702","3,92,76,61,607.97","1,92,116"
"30-Oct-2024","EQ","148.10","150.95","148.10","150.06","148.85","148.97","149.65","184.60","114.60","2,13,62,130","3,19,69,26,857.03","1,79,907"
"29-Oct-2024","EQ","149.85","150.45","146.55","149.38","150.10","150.06","148.24","184.60","114.60","3,22,58,407","4,78,20,62,026.21","2,78,118"
"28-Oct-2024","EQ","146.00","149.73","144.73","145.86","149.50","149.38","148.11","184.60","114.60","2,83,86,897","4,20,44,85,399.50","2,02,518"
"25-Oct-2024","EQ","149.00","149.50","144.43","148.98","146.25","145.86","145.89","184.60","114.60","3,97,30,802","5,79,62,63,940.69","3,02,722"
"24-Oct-2024","EQ","149.49","149.83","148.01","148.78","149.06","148.98","148.92","184.60","114.60","2,21,15,070","3,29,34,53,859.18","2,09,076"
"23-Oct-2024","EQ","150.30","151.95","148.05","150.39","148.69","148.78","149.84","184.60","114.60","4,21,07,893","6,30,95,47,439.99","2,45,073"
"22-Oct-2024","EQ","154.90","154.90","150.10","155.03","150.90","150.39","151.88","184.60","114.60","3,90,79,846","5,93,54,26,865.61","2,28,867"
"21-Oct-2024","EQ","156.10","157.93","154.59","155.39","155.00","155.03","155.43","184.60","114.60","2,57,99,090","4,01,00,16,405.81","1,96,995"
"18-Oct-2024","EQ","152.40","156.20","151.10","152.40","155.50","155.39","154.30","184.60","114.60","3,47,50,795","5,36,22,10,491.59","2,12,619"
"17-Oct-2024","EQ","155.65","156.30","152.10","155.24","152.50","152.40","153.63","184.60","114.60","2,84,04,223","4,36,37,40,733.71","1,87,556"
"16-Oct-2024","EQ","155.19","156.55","154.02","155.63","155.10","155.24","155.35","184.60","114.60","2,85,18,262","4,43,03,22,683.94","2,14,491"
"15-Oct-2024","EQ","159.50","159.53","155.05","158.32","155.66","155.63","156.14","184.60","114.60","3,89,64,393","6,08,38,46,366.99","2,61,649"
"14-Oct-2024","EQ","161.88","163.38","158.04","160.66","158.29","158.32","159.69","184.60","114.60","3,55,66,857","5,67,98,04,268.10","2,36,374"
"11-Oct-2024","EQ","159.30","163.78","159.20","159.72","160.85","160.66","161.54","184.60","114.60","5,32,63,433","8,60,41,75,534.70","2,31,565"
"10-Oct-2024","EQ","158.30","161.18","156.60","159.06","159.99","159.72","159.82","184.60","114.60","4,65,07,936","7,43,30,63,758.17","2,85,169"
"09-Oct-2024","EQ","159.52","162.20","158.11","159.52","158.30","159.06","160.33","184.60","114.60","4,27,66,218","6,85,69,06,324.55","2,47,518"
"08-Oct-2024","EQ","163.00","163.59","156.70","164.36","159.89","159.52","159.07","184.60","114.60","7,49,56,764","11,92,30,16,296.84","4,92,897"
"07-Oct-2024","EQ","167.10","167.95","162.33","166.75","164.08","164.36","164.93","184.60","114.60","4,87,75,098","8,04,43,65,273.28","3,74,772"
